uf,municipio,codigo_ibge,ano,valor_investimento,valor_desbloqueado,valor_desembolsado,valor_empenhado
MG,BELO HORIZONTE,3106200.0,2010.0,152935673.64,140185273.64,140185273.64,
PR,CURITIBA,4106902.0,2010.0,136930738.63,59383110.6,59383110.6,
PR,CURITIBA,4106902.0,2010.0,46664356.07,33032593.91,33032593.91,
PR,CURITIBA,4106902.0,2010.0,25329866.439999998,17279198.33,17279198.33,
MA,SÃO LUÍS,2111300.0,2012.0,36002526.010000005,34202343.74,34202343.74,
GO,GOIÂNIA,5208707.0,2012.0,36100411.89,15543727.2,15543727.2,
PR,CURITIBA,4106902.0,2010.0,5157894.74,,,
RS,PORTO ALEGRE,4314902.0,2010.0,5708.0,10845.2,10845.2,
SE,ARACAJU,2800308.0,2011.0,13830048.0,9782722.47,9782722.47,
TO,PALMAS,1721000.0,2012.0,20118952.02,14264015.51,14264015.51,
AC,RIO BRANCO,1200401.0,2011.0,10287806.46,9552249.55,9552249.55,
MT,CUIABÁ,5103403.0,2010.0,323894736.84,,,
AM,MANAUS,1302603.0,2011.0,290667405.54,,,
CE,FORTALEZA,2304400.0,2011.0,50484286.260000005,,,
RN,NATAL,2408102.0,2011.0,373252001.72,278619888.56,278619888.56,
MG,BELO HORIZONTE,3106200.0,2010.0,233361933.71,210000000.0,210000000.0,
CE,FORTALEZA,2304400.0,2010.0,25841716.689999998,21769590.99,21769590.99,
MG,BELO HORIZONTE,3106200.0,2010.0,118030738.58,60413835.83,60413835.83,
PE,RECIFE,2611606.0,2011.0,419558569.8,321070000.0,321070000.0,
PR,CURITIBA,4106902.0,2010.0,13181588.32,11868103.72,11868103.72,
PR,CURITIBA,4106902.0,2010.0,38176541.61,19675873.79,19675873.79,
CE,FORTALEZA,2304400.0,2010.0,434917753.91999996,160834287.34,160834287.34,
AC,RIO BRANCO,1200401.0,2011.0,34262320.89,30817486.23,30817486.23,
MT,CUIABÁ,5103403.0,2012.0,1066132266.3399999,297335005.96,297335005.96,
CE,FORTALEZA,2304400.0,2012.0,133620975.87,124135945.84,124135945.84,
RN,NATAL,2408102.0,2013.0,73000000.0,47330.95,47330.95,
RN,NATAL,2408102.0,2013.0,77512504.49,11963332.28,11963332.28,
RN,NATAL,2408102.0,2013.0,28231651.87,,,
PA,BELÉM,1501402.0,2013.0,211251076.8,107585192.12,107585192.12,
PA,BELÉM,1501402.0,2013.0,422135171.73,315000167.72,315000167.72,
DF,BRASÍLIA,5300108.0,2012.0,761394425.0,390918425.83,390918425.83,
DF,BRASÍLIA,5300108.0,2013.0,623411343.3,287640617.7,287640617.7,
AM,MANAUS,1302603.0,2013.0,59845946.95,42000000.0,42000000.0,
RJ,RIO DE JANEIRO,3304557.0,2014.0,190310782.66,180770817.12,180770817.12,
RJ,RIO DE JANEIRO,3304557.0,2014.0,57881424.980000004,54963604.6,54963604.6,
RJ,RIO DE JANEIRO,3304557.0,2014.0,124493706.25999999,118269020.55,118269020.55,
RJ,RIO DE JANEIRO,3304557.0,2014.0,146721474.10999998,139173148.67,139173148.67,
GO,GOIÂNIA,5208707.0,2014.0,192662105.95,137799942.09,137799942.09,
RS,PORTO ALEGRE,4314902.0,2013.0,2513586.87,1090896.7,1090896.7,
MG,BELO HORIZONTE,3106200.0,2013.0,164182269.41,74652167.67,74652167.67,
PE,RECIFE,2611606.0,2015.0,528875317.0,66094296.63,66094296.63,
MS,CAMPO GRANDE,5002704.0,2014.0,137442264.76,27350821.67,27350821.67,
RJ,RIO DE JANEIRO,3304557.0,2013.0,1534721680.54,1082945909.58,1082945909.58,
SE,ARACAJU,2800308.0,2014.0,2772312.16,2550056.56,2550056.56,
SE,ARACAJU,2800308.0,2014.0,22585715.33,16930559.02,16930559.02,
SE,ARACAJU,2800308.0,2014.0,5121994.45,4650139.2,4650139.2,
TO,PALMAS,1721000.0,2014.0,14628715.92,13896872.11,13896872.11,
TO,PALMAS,1721000.0,2014.0,23997937.64,16880376.48,16880376.48,
TO,PALMAS,1721000.0,2014.0,12401245.31,11781183.06,11781183.06,
SC,FLORIANÓPOLIS,4205407.0,2014.0,4017817.85,3055917.33,3055917.33,
SC,FLORIANÓPOLIS,4205407.0,2014.0,98054.37,93151.65,93151.65,
SC,FLORIANÓPOLIS,4205407.0,2014.0,3836394.5199999996,3644574.78,3644574.78,
TO,PALMAS,1721000.0,2013.0,102185842.68,56028198.77,56028198.77,
PB,JOÃO PESSOA,2507507.0,2014.0,5435478.6,5135794.6,5135794.6,
BA,SALVADOR,2927408.0,2014.0,125739905.87,91328994.4,91328994.4,
AC,RIO BRANCO,1200401.0,2014.0,41978231.57,28780750.94,28780750.94,
AC,RIO BRANCO,1200401.0,2014.0,58020037.11,21915152.2,21915152.2,
AC,RIO BRANCO,1200401.0,2014.0,38110622.14,30181762.09,30181762.09,
PR,PALMAS,4117602.0,2014.0,2918764.8,2772826.56,2772826.56,
PE,RECIFE,2611606.0,2014.0,105199717.23,66289944.47,66289944.47,
PE,RECIFE,2611606.0,2014.0,5621426.09,,,
PE,RECIFE,2611606.0,2014.0,3541496.71,,,
PE,RECIFE,2611606.0,2014.0,3273733.3800000004,2869771.68,2869771.68,
PE,RECIFE,2611606.0,2014.0,43637295.480000004,28669671.81,28669671.81,
PE,RECIFE,2611606.0,2014.0,2879032.41,2734553.31,2734553.31,
AC,RIO BRANCO,1200401.0,2013.0,57195006.440000005,48125622.97,48125622.97,
SC,FLORIANÓPOLIS,4205407.0,2014.0,2979087.45,2830133.08,2830133.08,
RR,BOA VISTA,1400100.0,2014.0,64932379.410000004,61036436.6,61036436.6,
SE,ARACAJU,2800308.0,2014.0,124205112.42,102947569.79,102947569.79,
SE,ARACAJU,2800308.0,2013.0,97285225.69,64492418.77,64492418.77,
AM,MANAUS,1302603.0,2012.0,192124723.09,173235497.96,173996152.27,
PE,RECIFE,2611606.0,2013.0,13300499.6,8335229.33,8336173.12,
PE,RECIFE,2611606.0,2014.0,17369044.189999998,4816351.4,9432140.06,
PE,RECIFE,2611606.0,2014.0,174203031.54000002,8739957.12,21648978.09,
PI,TERESINA,2211001.0,2013.0,2320000.0,0.0,0.0,
RS,PORTO ALEGRE,4314902.0,2014.0,24993196.509999998,9182202.14,9182202.14,
DF,BRASÍLIA,5300108.0,2014.0,30865293.09,29021357.9,29021357.9,
DF,BRASÍLIA,5300108.0,2014.0,26860876.56,18615289.81,18615289.81,
DF,BRASÍLIA,5300108.0,2014.0,484240795.83000004,289112504.35,289112504.35,
DF,BRASÍLIA,5300108.0,2014.0,69152875.78,14098479.71,14098479.71,
MS,CAMPO GRANDE,5002704.0,2014.0,327097938.4,271316624.55,271316624.55,
GO,GOIÂNIA,5208707.0,2014.0,1983396.9300000002,1483868.57,1483868.57,
MA,SÃO LUÍS,2111300.0,2014.0,88355211.86,83937451.28,83937451.28,
MT,CUIABÁ,5103403.0,2014.0,36026971.8,30082496.8,30082496.8,
MT,CUIABÁ,5103403.0,2014.0,63546864.309999995,47858694.76,47858694.76,
MG,BELO HORIZONTE,3106200.0,2013.0,52818063.37,46428114.78,46557254.37,
MT,CUIABÁ,5103403.0,2014.0,56674635.54,50452525.68,50452525.68,
MS,CAMPO GRANDE,5002704.0,,1575000.0,0.0,0.0,
PI,TERESINA,2211001.0,2013.0,2000000.0,1722820.23,1954845.03,
CE,FORTALEZA,2304400.0,2013.0,673000000.0,56117948.05,116605034.68,
RN,NATAL,2408102.0,2013.0,3216177.0,0.0,0.0,
MS,CAMPO GRANDE,5002704.0,2013.0,3455125.0,3299539.99,3330395.64,
AP,MACAPÁ,1600303.0,2015.0,104990807.59,51619793.64,51619793.64,
RJ,RIO DE JANEIRO,3304557.0,2013.0,1113955890.24,503781264.96,512346553.38,
GO,GOIÂNIA,5208707.0,2014.0,5877849.19,2708593.68,2708593.68,
GO,GOIÂNIA,5208707.0,2014.0,507315.39,378921.84,378921.84,
PE,RECIFE,2611606.0,2013.0,137010554.59,51982898.51,93072524.85,
CE,FORTALEZA,2304400.0,2013.0,196291890.26,0.0,0.0,
BA,SALVADOR,2927408.0,2013.0,610863157.89,580320000.0,580320000.0,
RN,NATAL,2408102.0,,67250000.0,0.0,0.0,
PB,JOÃO PESSOA,2507507.0,2014.0,62170728.95,,,
PI,TERESINA,2211001.0,2013.0,40276790.18,25778946.65,27301475.41,
PI,TERESINA,2211001.0,2013.0,82685684.99,68485416.81,68485416.81,
PI,TERESINA,2211001.0,2013.0,60258114.68,34539455.59,34539455.59,
PI,TERESINA,2211001.0,2013.0,2469820.61,2346329.6,2346329.6,
PI,TERESINA,2211001.0,2013.0,3437065.6799999997,3265212.61,3265212.61,
